time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-16T04:35:51.680Z,17.8435,-66.8898,12,2.57,md,17,231,0.1993,0.21,pr,pr2021228001,2021-08-16T05:00:30.524Z,"14 km S of Guánica, Puerto Rico",earthquake,0.73,0.55,0.17,7,reviewed,pr,pr
2021-08-16T01:33:40.550Z,17.9775,-66.7873,17,2.56,md,14,179,0.1925,0.15,pr,pr2021228000,2021-08-16T06:14:16.458Z,"3 km ESE of Indios, Puerto Rico",earthquake,0.46,0.34,0.17,5,reviewed,pr,pr
2021-08-15T22:10:12.050Z,17.9833,-66.7738,11,2.75,md,17,175,0.1778,0.12,pr,pr2021227011,2021-08-16T00:56:25.321Z,"3 km S of Magas Arriba, Puerto Rico",earthquake,0.43,0.31,0.29,8,reviewed,pr,pr
2021-08-15T21:38:27.410Z,18.2806,-68.003,103,3.64,md,11,156,0.4445,0.21,pr,pr2021227012,2021-08-16T06:21:13.582Z,"53 km SE of Punta Cana, Dominican Republic",earthquake,2.06,1.2,0.01,3,reviewed,pr,pr
2021-08-15T16:05:05.782Z,18.5392,-73.581,12.04,4.1,mb,,95,1.739,0.49,us,us6000f6mb,2021-08-15T17:08:23.040Z,"7 km WNW of Petit Trou de Nippes, Haiti",earthquake,4.2,6.3,0.212,6,reviewed,us,us
2021-08-15T15:34:25.680Z,17.9595,-66.9238,9,3.07,md,17,191,0.1208,0.17,pr,pr2021227009,2021-08-15T16:21:00.040Z,"2 km SW of Guánica, Puerto Rico",earthquake,0.47,0.92,0.19,7,reviewed,pr,pr
2021-08-15T12:41:41.120Z,19.3821,-64.7703,34,3.56,md,12,323,1.1905,0.41,pr,pr2021227008,2021-08-15T13:28:12.500Z,"116 km N of Cruz Bay, U.S. Virgin Islands",earthquake,3.72,27.02,0.09,9,reviewed,pr,pr
2021-08-15T12:05:43.506Z,18.4762,-73.7504,10,4.7,mb,,42,1.932,0.85,us,us6000f6kw,2021-08-15T18:31:44.040Z,"11 km W of Baradères, Haiti",earthquake,5.1,1.9,0.026,451,reviewed,us,us
2021-08-15T10:02:15.800Z,17.8825,-66.8861,9,2.58,md,18,229,0.1804,0.15,pr,pr2021227007,2021-08-15T13:33:36.465Z,"10 km SSE of Guánica, Puerto Rico",earthquake,0.61,0.71,0.1,13,reviewed,pr,pr
2021-08-15T07:01:42.341Z,18.5103,-73.6685,12.96,4,mb,,75,1.739,0.65,us,us6000f6h4,2021-08-15T14:08:26.180Z,"4 km NW of Baradères, Haiti",earthquake,6,6.2,0.196,8,reviewed,us,us
2021-08-15T05:43:07.450Z,17.8476,-66.8896,13,2.54,md,11,250,0.1968,0.14,pr,pr2021227006,2021-08-15T10:15:10.162Z,"13 km S of Guánica, Puerto Rico",earthquake,0.88,0.59,0.09,3,reviewed,pr,pr
2021-08-15T05:02:48.870Z,17.8736,-66.8875,11,2.95,md,17,231,0.1837,0.15,pr,pr2021227004,2021-08-15T07:08:30.105Z,"11 km SSE of Guánica, Puerto Rico",earthquake,0.89,0.77,0.11,5,reviewed,pr,pr
2021-08-15T04:00:02.138Z,18.4388,-74.0965,10,4,mb,,83,1.732,1.01,us,us6000f6ff,2021-08-15T04:25:08.040Z,"19 km NNE of Chardonnière, Haiti",earthquake,6.5,2,0.259,4,reviewed,us,us
2021-08-15T03:47:44.420Z,17.8411,-66.8851,8,3,md,16,250,0.2044,0.19,pr,pr2021227003,2021-08-15T06:21:08.861Z,"14 km S of Guánica, Puerto Rico",earthquake,0.95,1.3,0.21,6,reviewed,pr,pr
2021-08-15T03:39:50.010Z,17.8511,-66.886,7,4.08,ml,22,225,0.1976,0.16,pr,pr2021227002,2021-08-16T03:43:37.141Z,"13 km S of Guánica, Puerto Rico",earthquake,0.51,0.51,0.15,22,reviewed,pr,pr
2021-08-15T03:20:45.674Z,18.3711,-74.0992,12.04,5.8,mww,,34,1.799,1.25,us,us6000f6ez,2021-08-16T03:24:56.494Z,"12 km NNE of Chardonnière, Haiti",earthquake,5.8,3.5,0.029,113,reviewed,us,us
2021-08-15T02:37:53.046Z,18.5997,-73.5811,10,5,mww,,28,1.264,1.11,us,us6000f6el,2021-08-15T18:24:32.040Z,"11 km NW of Petit Trou de Nippes, Haiti",earthquake,5.9,1.9,0.078,16,reviewed,us,us
2021-08-15T01:20:06.010Z,17.9881,-66.9516,9,2.56,md,9,179,0.0945,0.07,pr,pr2021227001,2021-08-15T01:52:30.739Z,"3 km W of Fuig, Puerto Rico",earthquake,0.42,0.75,0.04,4,reviewed,pr,pr
2021-08-14T22:14:08.062Z,18.5174,-74.0251,15.04,4.4,mb,,76,1.66,0.71,us,us6000f6cd,2021-08-15T18:28:45.040Z,"15 km WSW of Corail, Haiti",earthquake,5.6,5.3,0.098,30,reviewed,us,us
2021-08-14T22:10:53.790Z,18.4717,-74.0298,10,4.1,mb,,79,1.705,1.13,us,us6000f6cc,2021-08-15T03:01:41.661Z,"18 km SW of Corail, Haiti",earthquake,2.7,2,0.521,1,reviewed,us,us
2021-08-14T20:41:54.280Z,18.0375,-66.7931,15,2.85,md,17,117,0.1869,0.22,pr,pr2021226010,2021-08-14T20:58:32.788Z,"2 km N of Guayanilla, Puerto Rico",earthquake,0.36,0.6,0.17,7,reviewed,pr,pr
2021-08-14T20:21:18.040Z,18.0308,-66.7996,15,2.54,md,19,134,0.1937,0.08,pr,pr2021226011,2021-08-14T21:15:26.827Z,"1 km NNW of Guayanilla, Puerto Rico",earthquake,0.28,0.29,0.31,8,reviewed,pr,pr
2021-08-14T18:11:10.604Z,18.591,-73.6128,10,5.1,mb,,70,1.294,0.97,us,us6000f69k,2021-08-15T18:22:06.040Z,"12 km NNE of Baradères, Haiti",earthquake,6.2,1.9,0.026,473,reviewed,us,us
2021-08-14T17:05:19.119Z,18.4743,-73.6174,7.22,5.2,mb,,58,2.264,0.68,us,us6000f691,2021-08-15T11:10:22.743Z,"2 km ESE of Baradères, Haiti",earthquake,5.6,4.9,0.022,669,reviewed,us,us
2021-08-14T16:08:03.225Z,18.5398,-73.7125,10,5.1,mb,,92,2.339,1.12,us,us6000f67i,2021-08-15T18:26:46.040Z,"10 km NW of Baradères, Haiti",earthquake,4.8,1.9,0.033,292,reviewed,us,us
2021-08-14T15:08:11.423Z,18.4932,-73.5949,10,4.2,mb,,104,2.239,0.71,us,us6000f67e,2021-08-14T17:04:09.040Z,"4 km ENE of Baradères, Haiti",earthquake,5.1,2,0.264,4,reviewed,us,us
2021-08-14T14:57:34.207Z,18.476,-73.6736,10,4.6,mb,,78,2.316,0.69,us,us6000f66y,2021-08-14T15:10:36.040Z,"3 km W of Baradères, Haiti",earthquake,2.8,1.9,0.058,90,reviewed,us,us
2021-08-14T14:40:48.952Z,18.4906,-73.7093,10,4.2,mb,,86,2.346,1.1,us,us6000f66r,2021-08-14T15:01:32.040Z,"7 km W of Baradères, Haiti",earthquake,6.9,1.9,0.187,8,reviewed,us,us
2021-08-14T14:28:51.340Z,18.4851,-73.5484,10,4.6,mb,,89,2.198,1.09,us,us6000f66l,2021-08-14T14:52:27.040Z,"6 km SW of Petit Trou de Nippes, Haiti",earthquake,6.6,1.9,0.057,93,reviewed,us,us
2021-08-14T14:02:35.601Z,18.4506,-73.5952,10,4.2,mb,,92,2.249,0.66,us,us6000f66b,2021-08-14T18:50:54.040Z,"5 km SE of Baradères, Haiti",earthquake,6.5,1.9,0.371,2,reviewed,us,us
2021-08-14T13:23:12.640Z,17.9726,-67.1663,5,2.66,md,16,235,0.066,0.19,pr,pr2021226009,2021-08-14T14:21:22.408Z,"2 km E of Pole Ojea, Puerto Rico",earthquake,0.61,0.31,0.27,13,reviewed,pr,pr
2021-08-14T13:14:56.014Z,18.2706,-73.431,10,4.4,mb,,78,1.16,1,us,us6000f667,2021-08-14T14:51:20.881Z,"4 km WSW of Aquin, Haiti",earthquake,5.9,1.9,0.08,45,reviewed,us,us
2021-08-14T13:14:12.969Z,18.4531,-73.4612,11.04,4.1,mb,,72,2.125,0.68,us,us6000f65w,2021-08-15T05:42:16.569Z,"9 km SSE of Petit Trou de Nippes, Haiti",earthquake,4.6,5.8,0.197,7,reviewed,us,us
2021-08-14T12:49:33.454Z,18.3887,-73.8245,10.81,5.2,mb,,71,2.42,0.9,us,us6000f65p,2021-08-14T15:51:16.476Z,"20 km WNW of Cavaillon, Haiti",earthquake,6.3,4,0.117,24,reviewed,us,us
2021-08-14T12:29:08.422Z,18.4079,-73.4753,10,7.2,mww,,23,1.174,0.73,us,us6000f65h,2021-08-16T06:49:23.913Z,"Nippes, Haiti",earthquake,5.8,1.8,0.031,97,reviewed,us,us
2021-08-14T12:01:06.870Z,17.9178,-66.8471,8,2.7,md,18,213,0.2038,0.08,pr,pr2021226008,2021-08-14T14:22:51.400Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.46,0.7,0.1,7,reviewed,pr,pr
2021-08-14T11:31:22.777Z,17.9486,-67.1651,10,2.6,ml,,268,0.078,0.4,us,us6000f64y,2021-08-14T11:50:20.487Z,"3 km SE of Pole Ojea, Puerto Rico",earthquake,0.9,1.6,0.06,36,reviewed,us,us
2021-08-14T05:48:13.550Z,18.0011,-66.8256,18,2.58,md,13,164,0.2209,0.15,pr,pr2021226006,2021-08-14T06:10:59.570Z,"1 km NW of Indios, Puerto Rico",earthquake,0.49,0.66,0.21,8,reviewed,pr,pr
2021-08-14T05:26:26.620Z,17.871,-66.8628,13,3.13,md,22,230,0.2064,0.15,pr,pr2021226005,2021-08-14T06:03:08.689Z,"12 km SSE of Guánica, Puerto Rico",earthquake,0.55,0.36,0.07,9,reviewed,pr,pr
2021-08-14T04:50:31.200Z,17.7981,-66.8951,13,2.84,md,7,268,0.2271,0.08,pr,pr2021226004,2021-08-14T05:31:13.221Z,"19 km S of Guánica, Puerto Rico",earthquake,0.68,0.58,0.17,4,reviewed,pr,pr
2021-08-14T02:30:54.730Z,17.9371,-66.3346,7,2.64,md,12,191,0.2295,0.14,pr,pr2021226003,2021-08-14T04:52:38.552Z,"Puerto Rico region",earthquake,0.54,0.95,0.02,4,reviewed,pr,pr
2021-08-14T02:17:34.790Z,17.9413,-66.3366,4,3.21,md,17,190,0.231,0.23,pr,pr2021226002,2021-08-14T04:59:50.331Z,"4 km SE of Jauca, Puerto Rico",earthquake,0.63,0.53,0.24,8,reviewed,pr,pr
2021-08-14T02:01:56.680Z,17.9486,-66.3308,7,3.23,md,21,187,0.2246,0.22,pr,pr2021226001,2021-08-14T03:19:26.269Z,"4 km SSW of Las Ochenta, Puerto Rico",earthquake,0.53,0.86,0.13,15,reviewed,pr,pr
2021-08-14T01:46:55.560Z,17.8063,-66.812,4,3.21,md,22,230,0.2838,0.26,pr,pr2021226000,2021-08-14T03:01:56.369Z,"20 km SSE of Maria Antonia, Puerto Rico",earthquake,0.59,0.43,0.12,11,reviewed,pr,pr
2021-08-13T19:42:03.960Z,17.9245,-66.8395,7,2.64,md,9,225,0.2096,0.09,pr,pr2021225005,2021-08-13T20:02:41.259Z,"7 km SE of Maria Antonia, Puerto Rico",earthquake,0.59,0.32,0.25,3,reviewed,pr,pr
2021-08-13T13:13:34.670Z,17.9458,-67.0845,12,3.12,md,14,244,0.0467,0.13,pr,pr2021225006,2021-08-13T14:09:27.913Z,"5 km SW of La Parguera, Puerto Rico",earthquake,0.75,0.24,0.23,7,reviewed,pr,pr
2021-08-13T11:10:52.800Z,17.967,-66.7696,10,3.35,md,18,181,0.1801,0.2,pr,pr2021225008,2021-08-13T20:11:39.830Z,"5 km S of Magas Arriba, Puerto Rico",earthquake,0.58,0.7,0.1,8,reviewed,pr,pr
2021-08-13T06:45:20.960Z,18.03,-66.6765,17,3.12,md,20,165,0.0714,0.16,pr,pr2021225004,2021-08-13T12:04:41.768Z,"3 km SE of Tallaboa Alta, Puerto Rico",earthquake,0.41,0.37,0.08,14,reviewed,pr,pr
2021-08-13T05:47:47.120Z,17.927,-66.7525,13,2.75,md,9,229,0.1866,0.14,pr,pr2021225003,2021-08-13T06:13:17.456Z,"8 km SSW of Tallaboa, Puerto Rico",earthquake,0.71,0.54,0.02,3,reviewed,pr,pr
2021-08-13T04:50:14.550Z,17.9526,-67.113,10,3.13,md,20,244,0.0539,0.07,pr,pr2021225002,2021-08-13T05:31:01.852Z,"7 km WSW of La Parguera, Puerto Rico",earthquake,0.55,0.24,0.18,9,reviewed,pr,pr
2021-08-13T03:49:17.420Z,17.9208,-66.9068,12,2.52,md,10,225,0.1458,0.12,pr,pr2021225001,2021-08-13T05:08:10.582Z,"5 km S of Guánica, Puerto Rico",earthquake,0.73,0.48,0.19,4,reviewed,pr,pr
2021-08-13T00:46:19.350Z,17.9551,-67.1241,9,3.36,md,23,237,0.0533,0.19,pr,pr2021225000,2021-08-13T01:37:46.040Z,"6 km ESE of Pole Ojea, Puerto Rico",earthquake,0.68,0.59,0.26,21,reviewed,pr,pr
2021-08-12T23:58:35.140Z,17.9336,-67.1165,9,2.64,md,8,247,0.0731,0.5,pr,pr2021224006,2021-08-13T00:39:17.620Z,"8 km ESE of Pole Ojea, Puerto Rico",earthquake,1.87,1.21,0.1,7,reviewed,pr,pr
2021-08-12T23:33:55.420Z,18.4166,-66.0701,118,3.05,md,9,180,0.4526,0.3,pr,pr2021224005,2021-08-13T01:05:42.614Z,"5 km ESE of Cataño, Puerto Rico",earthquake,2.85,1.54,0.1,7,reviewed,pr,pr
2021-08-12T23:17:17.600Z,17.9296,-67.0945,10,3.31,md,21,240,0.0641,0.16,pr,pr2021224004,2021-08-13T05:16:36.040Z,"7 km SW of La Parguera, Puerto Rico",earthquake,0.73,0.37,0.13,19,reviewed,pr,pr
2021-08-12T22:50:21.920Z,17.948,-67.1005,11,3.34,md,23,237,0.0591,0.16,pr,pr2021224003,2021-08-12T23:15:17.040Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.68,0.32,0.14,21,reviewed,pr,pr
2021-08-11T13:14:48.580Z,19.1305,-65.249,37,3.33,md,6,301,0.8237,0.23,pr,pr2021223003,2021-08-11T13:36:08.787Z,"91 km N of Culebra, Puerto Rico",earthquake,2.53,13.88,0.08,4,reviewed,pr,pr
2021-08-11T05:28:28.040Z,18.2425,-63.9496,159,4.18,md,11,348,1.3345,0.26,pr,pr2021223002,2021-08-11T07:02:03.040Z,"89 km E of Cruz Bay, U.S. Virgin Islands",earthquake,5.75,3.09,0.09,5,reviewed,pr,pr
2021-08-11T02:49:47.350Z,17.918,-66.8991,13,2.52,md,12,217,0.154,0.15,pr,pr2021223000,2021-08-11T03:31:43.525Z,"6 km S of Guánica, Puerto Rico",earthquake,0.8,0.39,0.06,5,reviewed,pr,pr
2021-08-11T02:43:13.480Z,17.9393,-66.8901,10,3.32,md,23,195,0.157,0.17,pr,pr2021223001,2021-08-12T02:00:30.370Z,"4 km SSE of Guánica, Puerto Rico",earthquake,0.6,0.78,0.13,22,reviewed,pr,pr
2021-08-10T21:36:48.950Z,18.2521,-67.7625,2,3.29,md,18,155,0.3127,0.69,pr,pr2021222007,2021-08-10T23:19:51.451Z,"55 km W of Stella, Puerto Rico",earthquake,2,1.43,0.12,17,reviewed,pr,pr
2021-08-10T19:00:25.980Z,18.0315,-66.8368,11,2.59,md,8,166,0.2165,0.21,pr,pr2021222006,2021-08-12T11:11:43.610Z,"1 km ESE of Yauco, Puerto Rico",earthquake,0.74,1.45,0.17,5,reviewed,pr,pr
2021-08-10T11:32:43.560Z,18.0058,-66.5255,6,2.85,md,13,164,0.0875,0.2,pr,pr2021222005,2021-08-10T11:57:47.502Z,"1 km SE of Capitanejo, Puerto Rico",earthquake,0.5,0.39,0.12,5,reviewed,pr,pr
2021-08-10T08:48:31.170Z,17.9415,-67.102,10,2.52,md,8,248,0.0642,0.07,pr,pr2021222003,2021-08-10T09:01:45.980Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.84,0.33,0.05,3,reviewed,pr,pr
2021-08-10T07:48:18.520Z,17.9438,-66.9383,11,2.93,md,14,213,0.109,0.1,pr,pr2021222002,2021-08-10T08:18:30.849Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.47,0.34,0.14,10,reviewed,pr,pr
2021-08-10T06:23:45.870Z,17.9388,-66.939,11,3.07,md,22,206,0.1096,0.14,pr,pr2021222001,2021-08-10T06:41:12.830Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.63,0.4,0.2,15,reviewed,pr,pr
2021-08-09T22:44:46.620Z,18.4831,-67.5053,19,3.22,md,16,293,0.1021,0.09,pr,pr2021221008,2021-08-09T23:22:50.867Z,"31 km WNW of Rincón, Puerto Rico",earthquake,0.9,0.35,0.1,14,reviewed,pr,pr
2021-08-09T21:48:14.800Z,17.952,-66.8341,11,3.13,md,21,196,0.2108,0.23,pr,pr2021221007,2021-08-09T22:00:16.241Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.72,0.56,0.18,17,reviewed,pr,pr
2021-08-09T19:39:36.970Z,17.98,-67.1511,6,3.13,md,14,229,0.0492,0.06,pr,pr2021221005,2021-08-09T20:17:07.353Z,"3 km E of Pole Ojea, Puerto Rico",earthquake,0.51,0.2,0.2,8,reviewed,pr,pr
2021-08-09T06:35:44.050Z,18.795,-64.8285,37,3.39,md,17,322,0.6662,0.13,pr,pr2021221003,2021-08-09T07:16:28.642Z,"51 km NNE of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.44,4.019,0.1,3,reviewed,pr,pr
2021-08-09T04:22:57.070Z,17.9135,-66.9175,9,2.97,md,21,221,0.1385,0.14,pr,pr2021221002,2021-08-11T05:32:43.040Z,"6 km S of Guánica, Puerto Rico",earthquake,0.44,0.7,0.34,11,reviewed,pr,pr
2021-08-08T21:35:24.740Z,17.9813,-66.8361,15,2.88,md,22,176,0.2085,0.21,pr,pr2021220003,2021-08-08T22:31:51.677Z,"2 km SW of Indios, Puerto Rico",earthquake,0.44,0.48,0.2,17,reviewed,pr,pr
