Year,"Average
Closing Price",Year Open,Year High,Year Low,Year Close,"Annual
% Change"
1969,41.1,41.8,43.75,35,35.21,-0.1607
1970,35.96,35.13,39.19,34.78,37.38,0.0616
1971,40.8,37.33,43.9,37.33,43.5,0.1637
1972,58.17,43.73,70,43.73,64.7,0.4874
1973,97.12,64.99,127,64.1,112.25,0.7349
1974,158.76,114.75,197.5,114.75,187.5,0.6704
1975,160.87,185,186.25,128.75,140.25,-0.252
1976,124.8,140.35,140.35,103.05,134.55,-0.0406
1977,147.84,136.1,168.15,129.4,165.6,0.2308
1978,193.57,168.6,243.65,166.3,224.5,0.3557
1979,307.01,227.15,524,216.55,524,1.3341
1980,614.75,559,843,474,589.5,0.125
1981,459.16,592,599.25,391.75,400,-0.3215
1982,376.11,399,488.5,297,448,0.12
1983,423.71,452.75,511.5,374.75,381.5,-0.1484
1984,360.65,384,406.85,303.25,309,-0.19
1985,317.42,306.25,339.3,285,327,0.0583
1986,368.2,327.1,442.75,326,390.9,0.1954
1987,446.84,402.4,502.75,392.6,486.5,0.2446
1988,436.78,484.1,485.3,389.05,410.15,-0.1569
1989,381.27,413.6,417.15,358.1,401,-0.0223
1990,383.73,401.65,421.4,346.75,391,-0.0249
1991,362.34,392.5,403.7,343.5,353.4,-0.0962
1992,343.87,351.2,359.3,330.2,332.9,-0.058
1993,360.05,329.4,406.7,326.5,390.65,0.1735
1994,384.16,395,397.5,370.25,382.5,-0.0209
1995,384.07,381.4,396.95,372.45,386.7,0.011
1996,387.73,387.1,416.25,368.3,369.55,-0.0443
1997,331,367.8,367.8,283.05,289.2,-0.2174
1998,294.12,287.7,314.6,273.4,287.45,-0.0061
1999,278.86,288.25,326.25,252.9,290.85,0.0118
2000,279.29,282.05,316.6,263.8,272.65,-0.0626
2001,271.19,272.8,292.85,256.7,276.5,0.0141
2002,310.08,278.1,348.5,277.8,342.75,0.2396
2003,363.83,342.2,417.25,319.75,417.25,0.2174
2004,409.53,415.2,455.75,373.5,438,0.0497
2005,444.99,426.8,537.5,411.5,513,0.1712
2006,604.34,520.75,725.75,520.75,635.7,0.2392
2007,696.43,640.75,841.75,608.3,836.5,0.3159
2008,872.37,840.75,1023.5,692.5,865,0.0341
2009,973.66,869.75,1218.25,813,1104,0.2763
2010,1226.66,1113,1426,1052.25,1410.25,0.2774
2011,1573.16,1405.5,1896.5,1316,1574.5,0.1165
2012,1668.86,1590,1790,1537.5,1664,0.0568
2013,1409.51,1681.5,1692.5,1192.75,1201.5,-0.2779
2014,1266.06,1219.75,1379,1144.5,1199.25,-0.0019
2015,1158.86,1184.25,1298,1049.6,1060.2,-0.1159
2016,1251.92,1075.2,1372.6,1073.6,1151.7,0.0863
2017,1260.39,1162,1351.2,1162,1296.5,0.1257
2018,1268.93,1312.8,1360.25,1176.7,1281.65,-0.0115
2019,1393.34,1287.2,1542.6,1270.05,1523,0.1883
2020,1773.73,1520.55,2058.4,1472.35,1895.1,0.2443
2021,1799.1,1946.6,1954.4,1678,1783.9,-0.0587