employee,companyAlias,numVotes,lastParticipationDate,timezone,stillExists,deletedOn
l8,C1,285,3/8/19 1:03,Europe/Madrid,TRUE,null
Xv,C1,143,4/21/18 2:04,Europe/Berlin,TRUE,null
w7,C1,381,3/11/19 1:03,Europe/Madrid,TRUE,null
jE,C1,173,3/1/19 1:03,Europe/Madrid,TRUE,null
QP,C1,312,3/8/19 1:03,Europe/Berlin,TRUE,null
4m,C1,71,2/11/19 1:02,Europe/Madrid,TRUE,null
ZB,C1,158,3/9/19 1:03,Europe/Madrid,TRUE,null
zDG,C1,374,3/7/19 1:03,Europe/Madrid,TRUE,null
oLq,C1,406,3/11/19 1:03,Europe/Berlin,TRUE,null
E9y,C1,496,3/8/19 1:03,Europe/Madrid,TRUE,null
dNx,C1,637,3/10/19 1:03,Europe/Madrid,TRUE,null
vBB,C1,265,3/8/19 1:03,Europe/Madrid,TRUE,null
1YL,C1,312,3/10/19 1:03,Europe/Madrid,TRUE,null
rGX,C1,10,11/29/18 1:11,Europe/Madrid,TRUE,null
yRA,C1,321,3/9/19 1:03,Europe/Madrid,TRUE,null
mWP,C1,352,3/11/19 1:03,Europe/Madrid,TRUE,null
dK2,C1,133,12/21/18 1:12,Europe/Madrid,TRUE,null
2V2,C1,151,3/10/19 1:03,Europe/Madrid,TRUE,null
MxQ,C1,64,3/11/19 1:03,Europe/Madrid,TRUE,null
1Bl,C1,13,2/19/19 1:02,Europe/Madrid,TRUE,null
KN5,C1,45,3/10/19 1:03,Europe/Madrid,TRUE,null
olw,C1,7,3/8/19 1:03,Europe/Madrid,TRUE,null
6K,C1,233,3/11/19 1:03,Europe/Madrid,TRUE,null
xG,C1,593,3/11/19 1:03,Europe/Madrid,TRUE,null
My,C1,338,3/11/19 1:03,Europe/Berlin,TRUE,null
ba,C1,482,3/11/19 1:03,Europe/Madrid,TRUE,null
mw,C1,459,3/11/19 1:03,Europe/Madrid,TRUE,null
A2,C1,371,3/9/19 1:03,Europe/Madrid,TRUE,null
71,C1,30,3/3/19 1:03,Europe/Madrid,TRUE,null
rE,C1,43,2/1/19 1:02,Europe/Madrid,TRUE,null
N3,C1,218,3/5/19 1:03,Europe/Madrid,TRUE,null
3WW,C1,376,3/11/19 1:03,Europe/Madrid,TRUE,null
DaW,C1,444,3/10/19 1:03,Europe/Madrid,TRUE,null
ONv,C1,284,3/7/19 1:03,Europe/Madrid,TRUE,null
ww7,C1,599,3/11/19 1:03,Europe/Madrid,TRUE,null
MYy,C1,25,10/24/18 2:10,Europe/Madrid,TRUE,null
3EW,C1,565,3/10/19 1:03,Europe/Madrid,TRUE,null
6qK,C1,545,3/11/19 1:03,Europe/Berlin,TRUE,null
DgY,C1,544,3/11/19 1:03,Europe/Madrid,TRUE,null
W73,C1,597,3/11/19 1:03,Europe/Madrid,TRUE,null
QWO,C1,659,3/11/19 1:03,Europe/Madrid,TRUE,null
b4J,C1,64,3/11/19 1:03,Europe/Madrid,TRUE,null
Kbx,C1,52,5/16/18 2:05,Europe/Berlin,TRUE,null
NDl,C1,2,11/17/17 1:11,Europe/Madrid,TRUE,null
VbR,C1,137,3/5/19 1:03,Europe/Madrid,TRUE,null
9Mv,C1,636,3/11/19 1:03,Europe/Madrid,TRUE,null
1EY,C1,303,3/9/19 1:03,Europe/Madrid,TRUE,null
qod,C1,319,3/11/19 1:03,Europe/Madrid,TRUE,null
92v,C1,382,3/11/19 1:03,Europe/Madrid,TRUE,null
lom,C1,326,3/5/19 1:03,Europe/Madrid,TRUE,null
moE,C1,407,3/10/19 1:03,Europe/Madrid,TRUE,null
zyx,C1,6,12/28/18 1:12,Europe/Madrid,TRUE,null
242,C1,189,3/11/19 1:03,Europe/Madrid,TRUE,null
XAz,C1,310,1/6/19 1:01,Europe/Madrid,TRUE,null
vzN,C1,160,3/9/19 1:03,Europe/Madrid,TRUE,null
XL9,C1,42,3/9/19 1:03,Europe/Madrid,TRUE,null
jbW,C1,70,3/10/19 1:03,Europe/Madrid,TRUE,null
vV,C1,464,3/10/19 1:03,Europe/Madrid,TRUE,null
oq,C1,376,3/10/19 1:03,Europe/Madrid,TRUE,null
Gl,C1,495,3/11/19 1:03,Europe/Madrid,TRUE,null
BQ,C1,490,3/10/19 1:03,Europe/Berlin,TRUE,null
Jl,C1,467,3/10/19 1:03,Europe/Madrid,TRUE,null
8b,C1,337,3/6/19 1:03,Europe/Madrid,TRUE,null
5R,C1,458,3/10/19 1:03,Europe/Madrid,TRUE,null
ygK,C1,395,3/10/19 1:03,Europe/Madrid,TRUE,null
gA6,C1,223,3/7/19 1:03,Europe/Madrid,TRUE,null
9o2,C1,315,3/10/19 1:03,Europe/Madrid,TRUE,null
2ER,C1,560,3/11/19 1:03,Europe/Madrid,TRUE,null
6XK,C1,399,3/11/19 1:03,Europe/Madrid,TRUE,null
Gyl,C1,286,3/11/19 1:03,Europe/Madrid,TRUE,null
19Q,C1,434,3/10/19 1:03,Europe/Madrid,TRUE,null
L2N,C1,364,3/10/19 1:03,Europe/Madrid,TRUE,null
NY3,C1,461,3/11/19 1:03,Europe/Madrid,TRUE,null
6qL,C1,582,3/11/19 1:03,Europe/Madrid,TRUE,null
1oG,C1,436,3/11/19 1:03,Europe/Madrid,TRUE,null
qLg,C1,588,3/11/19 1:03,Europe/Madrid,TRUE,null
yKX,C1,126,2/21/19 1:02,Europe/Madrid,TRUE,null
55Z,C1,2,6/22/17 2:06,Europe/Madrid,TRUE,null
ZPO,C1,471,3/11/19 1:03,Europe/Madrid,TRUE,null
RQM,C1,630,3/10/19 1:03,Europe/Madrid,TRUE,null
9MP,C1,92,3/11/19 1:03,Europe/Madrid,TRUE,null
YAm,C1,394,3/9/19 1:03,Europe/Madrid,TRUE,null
DbY,C1,310,3/11/19 1:03,Europe/Madrid,TRUE,null
y4x,C1,308,3/6/19 1:03,Europe/Madrid,TRUE,null
N7V,C1,168,3/4/19 1:03,Europe/Madrid,TRUE,null
BXy,C1,339,3/10/19 1:03,Europe/Madrid,TRUE,null
wKe,C1,164,3/9/19 1:03,Europe/Madrid,TRUE,null
jDY,C1,10,3/2/19 1:03,Europe/Madrid,TRUE,null
JD1,C1,179,6/30/18 2:06,Europe/Madrid,TRUE,null
QVq,C1,617,3/11/19 1:03,Europe/Madrid,TRUE,null
g1d,C1,659,3/11/19 1:03,Europe/Madrid,TRUE,null
J93,C1,359,3/9/19 1:03,Europe/Madrid,TRUE,null
13L,C1,403,3/10/19 1:03,Europe/Berlin,TRUE,null
qXe,C1,440,3/8/19 1:03,Europe/Madrid,TRUE,null
aay,C1,234,3/9/19 1:03,Europe/Madrid,TRUE,null
R4o,C1,461,3/10/19 1:03,Europe/Madrid,TRUE,null
qGe,C1,418,3/11/19 1:03,Europe/Madrid,TRUE,null
z4B,C1,378,3/10/19 1:03,Europe/Madrid,TRUE,null
lWr,C1,240,3/10/19 1:03,Europe/Madrid,TRUE,null
x31,C1,169,3/6/19 1:03,Europe/Madrid,TRUE,null
QbZ,C1,303,3/8/19 1:03,Europe/Madrid,TRUE,null
NzY,C1,15,3/8/19 1:03,Europe/Madrid,TRUE,null
YxL,C1,227,3/11/19 1:03,Europe/Madrid,TRUE,null
QYZ,C1,170,3/7/19 1:03,Europe/Madrid,TRUE,null
17r,C1,165,3/9/19 1:03,Europe/Madrid,TRUE,null
bzG,C1,234,3/10/19 1:03,Europe/Madrid,TRUE,null
77A,C1,234,3/11/19 1:03,Africa/Ceuta,TRUE,null
rRW,C1,25,8/28/18 2:08,Europe/Madrid,TRUE,null
ZoN,C1,184,3/10/19 1:03,Europe/Madrid,TRUE,null
y3A,C1,140,3/9/19 1:03,Europe/Madrid,TRUE,null
gbw,C1,157,3/10/19 1:03,Europe/Madrid,TRUE,null
9Ke,C1,49,3/5/19 1:03,Europe/Madrid,TRUE,null
zRx,C1,46,3/4/19 1:03,Europe/Madrid,TRUE,null
222,C1,124,3/10/19 1:03,Europe/Madrid,TRUE,null
6BQ,C1,30,3/11/19 1:03,Europe/Madrid,TRUE,null
lN5,C1,164,3/11/19 1:03,Europe/Madrid,TRUE,null
JNy,C1,48,3/11/19 1:03,Europe/Madrid,TRUE,null
8VK,C1,4,3/6/19 1:03,Europe/Madrid,TRUE,null
3B7,C1,46,3/11/19 1:03,Europe/Madrid,TRUE,null
GEG,C1,36,3/10/19 1:03,Europe/Madrid,TRUE,null
wxP,C1,17,3/8/19 1:03,Europe/Madrid,TRUE,null
J4y,C1,28,3/10/19 1:03,Europe/Madrid,TRUE,null
AER,C1,1,3/10/19 1:03,Europe/Madrid,TRUE,null
yK,C1,229,3/10/19 1:03,Europe/Madrid,TRUE,null
g6,C1,544,3/10/19 1:03,Europe/Madrid,TRUE,null
92,C1,193,3/11/19 1:03,Europe/Madrid,TRUE,null
2R,C1,450,3/10/19 1:03,Europe/Madrid,TRUE,null
Y4,C1,60,12/9/18 1:12,Europe/Madrid,TRUE,null
DW,C1,302,3/11/19 1:03,Europe/Madrid,TRUE,null
Ov,C1,203,3/6/19 1:03,Europe/Madrid,TRUE,null
V6,C1,234,3/10/19 1:03,Europe/Madrid,TRUE,null
Ey,C1,646,3/11/19 1:03,Europe/Madrid,TRUE,null
LN,C1,141,3/9/19 1:03,Europe/Madrid,TRUE,null
dx,C1,651,3/10/19 1:03,Europe/Madrid,TRUE,null
YQ4,C1,492,3/11/19 1:03,Europe/Madrid,TRUE,null
WNG,C1,105,3/2/19 1:03,Europe/Madrid,TRUE,null
lL8,C1,384,3/9/19 1:03,Europe/Madrid,TRUE,null
JOl,C1,572,3/8/19 1:03,Europe/Madrid,TRUE,null
8Mb,C1,424,3/11/19 1:03,Europe/Madrid,TRUE,null
4Vm,C1,551,3/9/19 1:03,Europe/Madrid,TRUE,null
bwa,C1,184,3/11/19 1:03,Europe/Madrid,TRUE,null
5ER,C1,593,3/10/19 1:03,Europe/Madrid,TRUE,null
AA2,C1,157,1/25/19 1:01,Europe/Madrid,TRUE,null
Kd9,C1,595,3/10/19 1:03,Europe/Madrid,TRUE,null
7o1,C1,363,3/9/19 1:03,Europe/Madrid,TRUE,null
PqB,C1,567,3/10/19 1:03,Europe/Madrid,TRUE,null
qKO,C1,219,3/9/19 1:03,Europe/Madrid,TRUE,null
aKP,C1,103,12/17/18 1:12,Europe/Madrid,TRUE,null
RWW,C1,379,3/10/19 1:03,Europe/Berlin,TRUE,null
gJ6,C1,2,9/4/17 2:09,Europe/Berlin,TRUE,null
2wR,C1,246,3/9/19 1:03,Europe/Madrid,TRUE,null
YX4,C1,497,3/11/19 1:03,Europe/Madrid,TRUE,null
Owv,C1,205,3/9/19 1:03,Europe/Madrid,TRUE,null
aK2,C1,272,3/9/19 1:03,Europe/Madrid,TRUE,null
3ER,C1,555,3/10/19 1:03,Europe/Madrid,TRUE,null
RWM,C1,153,3/8/19 1:03,Europe/Madrid,TRUE,null
gJK,C1,308,3/10/19 1:03,Europe/Madrid,TRUE,null
95P,C1,390,3/9/19 1:03,Europe/Madrid,TRUE,null
zKQ,C1,186,3/10/19 1:03,Europe/Madrid,TRUE,null
2wx,C1,405,3/1/19 1:03,Europe/Madrid,TRUE,null
Ow4,C1,343,3/9/19 1:03,Europe/Madrid,TRUE,null
VwR,C1,551,3/11/19 1:03,Europe/Madrid,TRUE,null
vqo,C1,191,3/31/18 2:03,Europe/Madrid,TRUE,null
Gbm,C1,394,3/11/19 1:03,Europe/Madrid,TRUE,null
B5N,C1,128,2/25/19 1:02,Europe/Madrid,TRUE,null
xmd,C1,561,3/11/19 1:03,Europe/Madrid,TRUE,null
ErW,C1,666,3/11/19 1:03,Europe/Madrid,TRUE,null
JAX,C1,256,3/9/19 1:03,Europe/Madrid,TRUE,null
8wL,C1,479,3/6/19 1:03,Europe/Madrid,TRUE,null
L1Z,C1,434,3/7/19 1:03,Europe/Madrid,TRUE,null
4qe,C1,142,3/5/19 1:03,Europe/Madrid,TRUE,null
e7j,C1,430,3/11/19 1:03,Europe/Madrid,TRUE,null
mdb,C1,652,3/11/19 1:03,Europe/Madrid,TRUE,null
dAA,C1,411,3/11/19 1:03,Europe/Madrid,TRUE,null
AvX,C1,167,2/13/19 1:02,Europe/Madrid,TRUE,null
7ZO,C1,563,3/10/19 1:03,Europe/Madrid,TRUE,null
rrB,C1,329,3/8/19 1:03,Europe/Madrid,TRUE,null
ZbO,C1,261,3/8/19 1:03,Europe/Madrid,TRUE,null
aN2,C1,200,3/8/19 1:03,Europe/Madrid,TRUE,null
3OR,C1,122,2/28/19 1:02,Europe/Madrid,TRUE,null
RAM,C1,401,3/11/19 1:03,Europe/Madrid,TRUE,null
g2K,C1,370,3/11/19 1:03,Europe/Madrid,TRUE,null
2zx,C1,270,3/10/19 1:03,Europe/Madrid,TRUE,null
6lL,C1,194,2/22/19 1:02,Europe/Madrid,TRUE,null
YDm,C1,550,3/11/19 1:03,Europe/Madrid,TRUE,null
DNY,C1,236,3/6/19 1:03,Europe/Madrid,TRUE,null
OX4,C1,32,11/10/17 1:11,Europe/Madrid,TRUE,null
WB3,C1,458,3/11/19 1:03,Europe/Madrid,TRUE,null
lOx,C1,252,3/9/19 1:03,Europe/Madrid,TRUE,null
v3o,C1,1,6/15/17 2:06,Europe/Berlin,TRUE,null
XXd,C1,201,3/5/19 1:03,Europe/Madrid,TRUE,null
oKO,C1,526,3/9/19 1:03,Europe/Berlin,TRUE,null
G2m,C1,230,3/10/19 1:03,Europe/Madrid,TRUE,null
B1N,C1,270,3/11/19 1:03,Europe/Madrid,TRUE,null
ELW,C1,98,3/6/19 1:03,Europe/Madrid,TRUE,null
wR5,C1,507,3/10/19 1:03,Europe/Madrid,TRUE,null
jY8,C1,505,3/10/19 1:03,Africa/Ceuta,TRUE,null
JzX,C1,200,3/10/19 1:03,Europe/Madrid,TRUE,null
8zL,C1,68,2/12/19 1:02,Europe/Madrid,TRUE,null
1OG,C1,245,3/11/19 1:03,Europe/Berlin,TRUE,null
LrZ,C1,617,3/11/19 1:03,Europe/Madrid,TRUE,null
4le,C1,540,3/10/19 1:03,Europe/Madrid,TRUE,null
dwA,C1,132,2/21/19 1:02,Europe/Madrid,TRUE,null
AXX,C1,66,2/4/19 1:02,Europe/Madrid,TRUE,null
KAx,C1,389,3/11/19 1:03,Europe/Madrid,TRUE,null
79O,C1,428,3/9/19 1:03,Europe/Madrid,TRUE,null
rNB,C1,623,3/10/19 1:03,Europe/Madrid,TRUE,null
NAl,C1,487,3/11/19 1:03,Europe/Madrid,TRUE,null
Po6,C1,305,3/4/19 1:03,Europe/Madrid,TRUE,null
qbg,C1,391,3/10/19 1:03,Europe/Madrid,TRUE,null
aJ2,C1,53,9/24/17 2:09,Europe/Madrid,TRUE,null
y4X,C1,198,3/8/19 1:03,Europe/Madrid,TRUE,null
g6K,C1,72,3/6/19 1:03,Africa/Ceuta,TRUE,null
6AL,C1,451,3/11/19 1:03,Europe/Madrid,TRUE,null
aJW,C1,507,3/11/19 1:03,Europe/Madrid,TRUE,null
g6d,C1,120,3/11/19 1:03,Europe/Madrid,TRUE,null
2DN,C1,296,3/8/19 1:03,Europe/Madrid,TRUE,null
YAa,C1,236,3/11/19 1:03,Europe/Madrid,TRUE,null
Vl1,C1,508,3/11/19 1:03,Europe/Madrid,TRUE,null
lZP,C1,300,3/11/19 1:03,Europe/Berlin,TRUE,null
XBo,C1,28,9/6/18 2:09,Europe/Berlin,TRUE,null
oAm,C1,270,3/11/19 1:03,Europe/Madrid,TRUE,null
G6D,C1,126,10/20/18 2:10,Europe/Madrid,TRUE,null
BAy,C1,209,3/8/19 1:03,Europe/Madrid,TRUE,null
xE4,C1,671,3/11/19 1:03,Europe/Madrid,TRUE,null
wme,C1,422,3/11/19 1:03,Europe/Madrid,TRUE,null
jXY,C1,545,3/11/19 1:03,Europe/Madrid,TRUE,null
8WE,C1,132,3/4/19 1:03,Europe/Madrid,TRUE,null
4R1,C1,244,3/10/19 1:03,Europe/Madrid,TRUE,null
5yB,C1,463,3/11/19 1:03,Europe/Madrid,TRUE,null
eLM,C1,28,2/19/19 1:02,Europe/Madrid,TRUE,null
mGe,C1,299,3/4/19 1:03,Europe/Madrid,TRUE,null
dZY,C1,124,3/2/19 1:03,Europe/Madrid,TRUE,null
AeM,C1,249,3/7/19 1:03,Europe/Madrid,TRUE,null
72j,C1,509,3/10/19 1:03,Europe/Madrid,TRUE,null
r5v,C1,111,2/7/19 1:02,Europe/Madrid,TRUE,null
ZJq,C1,629,3/11/19 1:03,Europe/Madrid,TRUE,null
PQE,C1,363,3/10/19 1:03,Europe/Madrid,TRUE,null
338,C1,263,3/9/19 1:03,Europe/Madrid,TRUE,null
zMY,C1,578,3/11/19 1:03,Europe/Madrid,TRUE,null
Dwv,C1,20,3/5/19 1:03,Europe/Madrid,TRUE,null
Wjo,C1,111,3/5/19 1:03,Europe/Madrid,TRUE,null
v5Q,C1,334,3/9/19 1:03,Europe/Madrid,TRUE,null
odm,C1,44,2/6/19 1:02,Europe/Madrid,TRUE,null
E19,C1,41,3/8/19 1:03,Europe/Madrid,TRUE,null
1ZY,C1,105,10/15/18 2:10,Europe/Berlin,TRUE,null
bRb,C1,285,3/5/19 1:03,Europe/Madrid,TRUE,null
m4e,C1,474,3/9/19 1:03,Europe/Madrid,TRUE,null
