Year,Month,Price_wheat_ton,Price_rice_ton,Price_corn_ton,Inflation_rate,Price_wheat_ton_infl,Price_rice_ton_infl,Price_corn_ton_infl
1992,Feb,170.12,278.25,113.62,89.59,322.53,527.53,215.41
1992,Mar,161.44,277.2,117.0,89.59,306.07,525.54,221.82
1992,Apr,153.07,278.0,108.52,89.59,290.21,527.06,205.74
1992,May,139.72,274.0,109.64,89.59,264.9,519.48,207.87
1992,Jun,140.36,268.8,110.9,89.59,266.11,509.62,210.26
1992,Jul,129.93,278.5,102.75,89.59,246.33,528.01,194.8
1992,Aug,118.8,270.8,96.96,89.59,225.23,513.41,183.83
1992,Sep,131.47,257.0,98.05,89.59,249.25,487.25,185.89
1992,Oct,137.42,250.0,95.11,89.59,260.53,473.98,180.32
1992,Nov,145.84,252.6,94.48,89.59,276.5,478.9,179.12
1992,Dec,146.27,256.25,94.61,89.59,277.31,485.82,179.37
1993,Jan,156.92,259.75,94.21,84.15,288.97,478.33,173.49
1993,Feb,149.43,254.25,94.38,84.15,275.18,468.2,173.8
1993,Mar,145.46,230.2,97.14,84.15,267.86,423.91,178.88
1993,Apr,156.34,206.25,100.55,84.15,287.9,379.81,185.16
1993,May,140.09,184.75,98.59,84.15,257.98,340.22,181.55
1993,Jun,112.25,189.0,92.76,84.15,206.71,348.04,170.82
1993,Jul,116.77,200.75,101.25,84.15,215.03,369.68,186.45
1993,Aug,119.55,209.0,100.31,84.15,220.15,384.87,184.72
1993,Sep,115.71,206.0,100.9,84.15,213.08,379.35,185.81
1993,Oct,127.87,256.75,106.53,84.15,235.47,472.81,196.17
1993,Nov,136.41,307.75,116.67,84.15,251.2,566.72,214.85
1993,Dec,140.49,320.5,121.79,84.15,258.71,590.2,224.28
1994,Jan,152.71,356.0,127.23,79.47,274.07,638.91,228.34
1994,Feb,144.19,343.75,123.22,79.47,258.78,616.93,221.14
1994,Mar,133.49,269.75,119.4,79.47,239.57,484.12,214.29
1994,Apr,129.98,269.25,113.23,79.47,233.28,483.22,203.21
1994,May,125.25,233.0,109.59,79.47,224.79,418.17,196.68
1994,Jun,120.15,213.75,112.16,79.47,215.63,383.62,201.29
1994,Jul,119.51,226.25,97.83,79.47,214.48,406.05,175.58
1994,Aug,128.15,252.6,95.99,79.47,229.99,453.34,172.27
1994,Sep,142.12,259.75,97.51,79.47,255.06,466.17,175.0
1994,Oct,157.38,262.0,96.48,79.47,282.45,470.21,173.15
1994,Nov,152.39,264.5,95.47,79.47,273.49,474.7,171.34
1994,Dec,157.34,260.5,102.49,79.47,282.38,467.52,183.94
1995,Jan,152.99,276.8,106.96,74.58,267.09,483.24,186.73
1995,Feb,149.71,280.5,106.69,74.58,261.36,489.7,186.26
1995,Mar,143.08,286.25,109.7,74.58,249.79,499.74,191.51
1995,Apr,140.68,281.5,109.3,74.58,245.6,491.44,190.82
1995,May,143.28,291.0,111.97,74.58,250.14,508.03,195.48
1995,Jun,153.48,326.0,119.86,74.58,267.95,569.13,209.25
1995,Jul,173.36,345.6,126.99,74.58,302.65,603.35,221.7
1995,Aug,168.47,339.5,126.44,74.58,294.11,592.7,220.74
1995,Sep,185.61,359.75,130.48,74.58,324.04,628.05,227.79
1995,Oct,194.04,382.6,140.86,74.58,338.76,667.94,245.91
1995,Nov,198.27,340.5,143.95,74.58,346.14,594.44,251.31
1995,Dec,205.33,341.5,148.65,74.58,358.47,596.19,259.51
1996,Jan,196.98,369.2,156.13,69.6,334.08,626.16,264.8
1996,Feb,203.96,368.0,164.81,69.6,345.92,624.13,279.52
1996,Mar,205.51,359.5,184.86,69.6,348.54,609.71,313.52
1996,Apr,247.52,327.2,190.37,69.6,419.79,554.93,322.87
1996,May,213.43,332.25,204.02,69.6,361.98,563.5,346.02
1996,Jun,180.6,341.5,197.55,69.6,306.3,579.18,335.04
1996,Jul,181.08,358.0,197.8,69.6,307.11,607.17,335.47
1996,Aug,174.99,335.5,185.5,69.6,296.78,569.01,314.61
1996,Sep,169.71,328.4,145.39,69.6,287.83,556.97,246.58
1996,Oct,158.44,312.75,127.85,69.6,268.71,530.42,216.83
1996,Nov,158.21,315.0,117.74,69.6,268.32,534.24,199.69
1996,Dec,158.6,319.2,117.69,69.6,268.99,541.36,199.6
1997,Jan,154.01,356.0,118.36,65.73,255.24,590.0,196.16
1997,Feb,143.58,347.0,121.67,65.73,237.96,575.08,201.64
1997,Mar,153.8,323.4,127.6,65.73,254.89,535.97,211.47
1997,Apr,158.62,304.5,124.4,65.73,262.88,504.65,206.17
1997,May,152.65,324.5,118.77,65.73,252.99,537.79,196.84
1997,Jun,131.59,323.2,112.05,65.73,218.08,535.64,185.7
1997,Jul,127.78,320.0,106.06,65.73,211.77,530.34,175.77
1997,Aug,140.91,285.0,112.92,65.73,233.53,472.33,187.14
1997,Sep,143.22,270.6,112.24,65.73,237.36,448.47,186.02
1997,Oct,143.65,265.75,120.36,65.73,238.07,440.43,199.47
1997,Nov,138.23,252.5,117.22,65.73,229.09,418.47,194.27
1997,Dec,135.74,269.67,113.45,65.73,224.96,446.92,188.02
1998,Jan,130.21,288.0,114.71,63.2,212.5,470.02,187.21
1998,Feb,127.32,297.25,113.38,63.2,207.79,485.11,185.04
1998,Mar,129.85,296.0,114.21,63.2,211.92,483.07,186.39
1998,Apr,118.33,311.5,107.12,63.2,193.11,508.37,174.82
1998,May,112.29,318.25,106.1,63.2,183.26,519.38,173.16
1998,Jun,107.18,325.5,104.23,63.2,174.92,531.22,170.1
1998,Jul,96.78,324.25,100.51,63.2,157.94,529.18,164.03
1998,Aug,92.85,321.4,87.86,63.2,151.53,524.52,143.39
1998,Sep,96.34,321.25,86.31,63.2,157.23,524.28,140.86
1998,Oct,107.64,298.75,95.53,63.2,175.67,487.56,155.9
1998,Nov,115.28,270.0,98.12,63.2,188.14,440.64,160.13
1998,Dec,104.11,277.75,95.76,63.2,169.91,453.29,156.28
1999,Jan,103.18,299.75,97.44,59.7,164.78,478.7,155.61
1999,Feb,94.96,280.0,94.19,59.7,151.65,447.16,150.42
1999,Mar,100.24,256.2,96.18,59.7,160.08,409.15,153.6
1999,Apr,99.65,235.5,94.13,59.7,159.14,376.09,150.33
1999,May,96.59,244.25,92.49,59.7,154.25,390.07,147.71
1999,Jun,92.94,253.8,93.65,59.7,148.43,405.32,149.56
1999,Jul,85.3,259.0,83.99,59.7,136.22,413.62,134.13
1999,Aug,92.78,244.5,85.65,59.7,148.17,390.47,136.78
1999,Sep,102.06,229.25,86.47,59.7,162.99,366.11,138.09
1999,Oct,98.67,217.0,85.8,59.7,157.58,346.55,137.02
1999,Nov,96.91,228.0,85.43,59.7,154.77,364.12,136.43
1999,Dec,92.06,233.75,87.18,59.7,147.02,373.3,139.23
2000,Jan,98.56,241.4,93.29,54.49,152.27,372.94,144.12
2000,Feb,100.06,241.0,95.15,54.49,154.58,372.32,147.0
2000,Mar,97.19,225.75,95.05,54.49,150.15,348.76,146.84
2000,Apr,95.19,214.75,95.2,54.49,147.06,331.77,147.07
2000,May,104.28,198.6,96.35,54.49,161.1,306.82,148.85
2000,Jun,99.28,196.0,84.33,54.49,153.38,302.8,130.28
2000,Jul,91.17,189.0,75.27,54.49,140.85,291.99,116.28
2000,Aug,90.87,186.5,75.58,54.49,140.39,288.12,116.76
2000,Sep,97.88,179.0,80.43,54.49,151.21,276.54,124.26
2000,Oct,104.33,187.5,85.03,54.49,161.18,289.67,131.36
2000,Nov,103.21,185.0,89.17,54.49,159.45,285.81,137.76
2000,Dec,104.95,184.25,97.56,54.49,162.14,284.65,150.72
2001,Jan,110.37,184.4,95.15,50.24,165.82,277.04,142.95
2001,Feb,106.74,184.5,91.97,50.24,160.37,277.19,138.18
2001,Mar,103.49,175.0,90.25,50.24,155.48,262.92,135.59
2001,Apr,101.09,163.75,87.99,50.24,151.88,246.02,132.2
2001,May,102.55,164.33,84.09,50.24,154.07,246.89,126.34
2001,Jun,97.42,168.0,83.31,50.24,146.36,252.4,125.16
2001,Jul,107.98,169.4,91.73,50.24,162.23,254.51,137.82
2001,Aug,105.91,168.25,93.14,50.24,159.12,252.78,139.93
2001,Sep,107.57,173.0,90.08,50.24,161.61,259.92,135.34
2001,Oct,115.01,170.6,86.56,50.24,172.79,256.31,130.05
2001,Nov,116.36,173.5,89.54,50.24,174.82,260.67,134.52
2001,Dec,118.2,179.33,91.88,50.24,177.58,269.43,138.04
2002,Jan,121.68,191.75,91.98,47.89,179.95,283.58,136.03
2002,Feb,113.38,195.33,90.82,47.89,167.68,288.87,134.31
2002,Mar,116.62,189.0,89.61,47.89,172.47,279.51,132.52
2002,Apr,112.99,190.2,87.13,47.89,167.1,281.29,128.86
2002,May,110.91,197.5,90.27,47.89,164.02,292.08,133.5
2002,Jun,115.44,202.67,94.09,47.89,170.72,299.73,139.15
2002,Jul,123.5,199.6,98.69,47.89,182.64,295.19,145.95
2002,Aug,130.05,190.33,108.93,47.89,192.33,281.48,161.1
2002,Sep,151.84,186.6,114.14,47.89,224.56,275.96,168.8
2002,Oct,156.82,186.25,109.7,47.89,231.92,275.45,162.24
2002,Nov,160.02,186.75,108.93,47.89,236.65,276.18,161.1
2002,Dec,146.24,186.5,106.96,47.89,216.27,275.81,158.18
2003,Jan,137.53,200.75,106.14,44.61,198.88,290.3,153.49
2003,Feb,140.77,198.75,105.85,44.61,203.57,287.41,153.07
2003,Mar,129.36,197.0,105.6,44.61,187.07,284.88,152.71
2003,Apr,125.8,195.0,105.46,44.61,181.92,281.99,152.51
2003,May,129.15,198.0,107.49,44.61,186.76,286.33,155.44
2003,Jun,126.28,203.4,107.33,44.61,182.61,294.14,155.21
2003,Jul,128.95,198.5,96.81,44.61,186.47,287.05,140.0
2003,Aug,144.17,195.0,100.66,44.61,208.48,281.99,145.56
2003,Sep,138.36,197.6,104.08,44.61,200.08,285.75,150.51
2003,Oct,142.82,195.75,105.39,44.61,206.53,283.07,152.4
2003,Nov,160.94,193.4,108.48,44.61,232.74,279.68,156.87
2003,Dec,158.77,198.25,111.16,44.61,229.6,286.69,160.75
2004,Jan,155.89,212.75,115.52,40.84,219.56,299.64,162.7
2004,Feb,157.49,213.25,123.54,40.84,221.81,300.34,173.99
2004,Mar,156.51,237.8,127.85,40.84,220.43,334.92,180.06
2004,Apr,157.24,240.75,133.5,40.84,221.46,339.07,188.02
2004,May,148.31,232.0,128.22,40.84,208.88,326.75,180.59
2004,Jun,137.21,229.0,123.32,40.84,193.25,322.52,173.68
2004,Jul,131.63,230.75,104.85,40.84,185.39,324.99,147.67
2004,Aug,129.13,239.0,104.05,40.84,181.87,336.61,146.54
2004,Sep,138.19,235.25,97.87,40.84,194.63,331.33,137.84
2004,Oct,141.44,244.0,93.79,40.84,199.2,343.65,132.09
2004,Nov,140.82,259.2,93.75,40.84,198.33,365.06,132.04
2004,Dec,139.46,278.25,95.39,40.84,196.42,391.89,134.35
2005,Jan,142.47,287.0,96.25,36.22,194.07,390.95,131.11
2005,Feb,141.62,290.0,94.14,36.22,192.91,395.04,128.24
2005,Mar,152.16,292.75,99.88,36.22,207.27,398.78,136.06
2005,Apr,132.14,297.25,96.28,36.22,180.0,404.91,131.15
2005,May,133.13,293.8,95.42,36.22,181.35,400.21,129.98
2005,Jun,131.06,285.0,97.1,36.22,178.53,388.23,132.27
2005,Jul,130.85,276.75,107.52,36.22,178.24,376.99,146.46
2005,Aug,131.77,282.8,101.67,36.22,179.5,385.23,138.49
2005,Sep,128.24,285.25,96.35,36.22,174.69,388.57,131.25
2005,Oct,135.26,286.4,101.94,36.22,184.25,390.13,138.86
2005,Nov,132.35,277.75,95.37,36.22,180.29,378.35,129.91
2005,Dec,137.59,280.5,102.14,36.22,187.43,382.1,139.14
2006,Jan,144.16,291.25,102.65,31.96,190.23,384.33,135.46
2006,Feb,149.25,301.5,107.13,31.96,196.95,397.86,141.37
2006,Mar,142.66,303.5,105.25,31.96,188.25,400.5,138.89
2006,Apr,140.82,302.25,107.72,31.96,185.83,398.85,142.15
2006,May,150.92,308.0,110.65,31.96,199.15,406.44,146.01
2006,Jun,140.14,312.5,109.4,31.96,184.93,412.38,144.36
2006,Jul,143.85,315.4,113.99,31.96,189.82,416.2,150.42
2006,Aug,148.36,312.67,116.59,31.96,195.78,412.6,153.85
2006,Sep,166.89,309.2,121.75,31.96,220.23,408.02,160.66
2006,Oct,197.77,301.0,142.17,31.96,260.98,397.2,187.61
2006,Nov,192.94,296.25,164.54,31.96,254.6,390.93,217.13
2006,Dec,189.85,305.0,160.38,31.96,250.53,402.48,211.64
2007,Jan,175.98,313.0,164.77,28.3,225.78,401.58,211.4
2007,Feb,176.46,315.0,177.35,28.3,226.4,404.14,227.54
2007,Mar,168.54,318.67,170.51,28.3,216.24,408.85,218.76
2007,Apr,175.27,316.5,152.75,28.3,224.87,406.07,195.98
2007,May,180.78,317.6,160.23,28.3,231.94,407.48,205.58
2007,Jun,205.03,323.25,165.25,28.3,263.05,414.73,212.02
2007,Jul,225.61,328.8,146.84,28.3,289.46,421.85,188.4
2007,Aug,253.9,327.5,151.17,28.3,325.75,420.18,193.95
2007,Sep,322.98,325.0,159.44,28.3,414.38,416.98,204.56
2007,Oct,325.55,329.2,164.16,28.3,417.68,422.36,210.62
2007,Nov,307.65,342.0,171.25,28.3,394.71,438.79,219.71
2007,Dec,345.31,360.67,180.25,28.3,443.03,462.74,231.26
2008,Jan,343.81,375.6,206.66,23.56,424.81,464.09,255.35
2008,Feb,388.75,464.75,220.07,23.56,480.34,574.25,271.92
2008,Mar,419.61,594.0,234.36,23.56,518.47,733.95,289.58
2008,Apr,323.43,907.0,246.44,23.56,399.63,1120.69,304.5
2008,May,255.1,901.8,243.46,23.56,315.2,1114.26,300.82
2008,Jun,254.74,757.0,287.11,23.56,314.76,935.35,354.75
2008,Jul,245.45,731.75,265.34,23.56,303.28,904.15,327.85
2008,Aug,255.37,693.5,235.03,23.56,315.54,856.89,290.4
2008,Sep,223.77,683.8,233.85,23.56,276.49,844.9,288.95
2008,Oct,185.92,609.25,183.06,23.56,229.72,752.79,226.19
2008,Nov,182.98,552.0,163.77,23.56,226.09,682.05,202.35
2008,Dec,179.31,531.8,158.26,23.56,221.56,657.09,195.55
2009,Jan,195.11,580.0,172.83,24.0,241.94,719.2,214.31
2009,Feb,183.35,590.75,163.38,24.0,227.35,732.53,202.59
2009,Mar,183.72,588.25,164.56,24.0,227.81,729.43,204.05
2009,Apr,182.62,549.67,168.5,24.0,226.45,681.59,208.94
2009,May,202.46,533.0,179.91,24.0,251.05,660.92,223.09
2009,Jun,201.72,574.5,179.52,24.0,250.13,712.38,222.6
2009,Jul,175.63,572.0,151.57,24.0,217.78,709.28,187.95
2009,Aug,161.67,526.25,151.96,24.0,200.47,652.55,188.43
2009,Sep,158.37,518.75,150.39,24.0,196.38,643.25,186.48
2009,Oct,175.63,493.0,167.31,24.0,217.78,611.32,207.46
2009,Nov,204.66,542.75,171.64,24.0,253.78,673.01,212.83
2009,Dec,206.5,591.0,164.56,24.0,256.06,732.84,204.05
2010,Jan,198.78,568.8,167.31,22.0,242.51,693.94,204.12
2010,Feb,191.8,535.0,161.8,22.0,234.0,652.7,197.4
2010,Mar,189.96,502.2,159.05,22.0,231.75,612.68,194.04
2010,Apr,187.76,466.0,157.08,22.0,229.07,568.52,191.64
2010,May,190.33,451.33,163.38,22.0,232.2,550.62,199.32
2010,Jun,182.62,440.0,152.75,22.0,222.8,536.8,186.36
2010,Jul,222.28,441.8,163.76,22.0,271.18,539.0,199.79
2010,Aug,261.61,452.75,175.58,22.0,319.16,552.36,214.21
2010,Sep,276.31,476.5,205.89,22.0,337.1,581.33,251.19
2010,Oct,267.49,486.0,235.81,22.0,326.34,592.92,287.69
2010,Nov,278.52,514.5,238.18,22.0,339.79,627.69,290.58
2010,Dec,308.65,532.0,250.38,22.0,376.55,649.04,305.46
2011,Jan,320.4,516.8,264.95,18.27,378.94,611.22,313.36
2011,Feb,338.78,524.0,292.9,18.27,400.68,619.73,346.41
2011,Mar,303.14,492.75,290.54,18.27,358.52,582.78,343.62
2011,Apr,314.89,484.25,319.27,18.27,372.42,572.72,377.6
2011,May,308.65,481.4,307.86,18.27,365.04,569.35,364.11
2011,Jun,282.19,513.75,310.61,18.27,333.75,607.61,367.36
2011,Jul,266.39,538.25,300.77,18.27,315.06,636.59,355.72
2011,Aug,277.62,566.0,310.22,18.27,328.34,669.41,366.9
2011,Sep,267.49,598.75,295.26,18.27,316.36,708.14,349.2
2011,Oct,253.53,599.4,274.79,18.27,299.85,708.91,324.99
2011,Nov,253.16,615.25,274.39,18.27,299.41,727.66,324.52
2011,Dec,244.71,585.75,258.65,18.27,289.42,692.77,305.91
2012,Jan,253.9,542.0,272.84,15.87,294.19,628.02,316.14
2012,Feb,263.08,537.5,279.46,15.87,304.83,622.8,323.81
2012,Mar,259.78,548.0,280.69,15.87,301.01,634.97,325.24
2012,Apr,254.63,547.75,274.0,15.87,295.04,634.68,317.48
2012,May,251.33,600.5,269.28,15.87,291.22,695.8,312.01
2012,Jun,249.49,600.0,267.31,15.87,289.08,695.22,309.73
2012,Jul,322.98,573.75,333.05,15.87,374.24,664.8,385.91
2012,Aug,333.73,567.75,331.99,15.87,386.69,657.85,384.68
2012,Sep,343.55,563.25,320.85,15.87,398.07,652.64,371.77
2012,Oct,340.25,558.25,321.24,15.87,394.25,646.84,372.22
2012,Nov,346.49,559.25,321.64,15.87,401.48,648.0,372.68
2012,Dec,325.18,557.8,308.65,15.87,376.79,646.32,357.63
2013,Jan,309.01,564.2,303.13,14.19,352.86,644.26,346.14
2013,Feb,297.99,563.0,302.74,14.19,340.27,642.89,345.7
2013,Mar,285.87,559.0,309.04,14.19,326.43,638.32,352.89
2013,Apr,278.15,557.0,279.91,14.19,317.62,636.04,319.63
2013,May,279.25,543.5,295.54,14.19,318.88,620.62,337.48
2013,Jun,268.23,524.25,298.41,14.19,306.29,598.64,340.75
2013,Jul,260.88,509.0,279.51,14.19,297.9,581.23,319.17
2013,Aug,252.43,478.75,238.74,14.19,288.25,546.68,272.62
2013,Sep,259.8,444.0,207.41,14.19,296.67,507.0,236.84
2013,Oct,287.72,439.0,201.73,14.19,328.55,501.29,230.36
2013,Nov,274.43,438.0,199.13,14.19,313.37,500.15,227.39
2013,Dec,267.05,451.0,197.39,14.19,304.94,515.0,225.4
2014,Jan,246.55,450.0,198.06,12.37,277.05,505.66,222.56
2014,Feb,258.67,459.0,209.32,12.37,290.67,515.78,235.21
2014,Mar,286.92,422.0,222.33,12.37,322.41,474.2,249.83
2014,Apr,277.09,395.0,222.36,12.37,311.37,443.86,249.87
2014,May,277.21,388.0,217.3,12.37,311.5,436.0,244.18
2014,Jun,236.65,397.0,202.39,12.37,265.92,446.11,227.43
2014,Jul,218.31,422.0,182.73,12.37,245.31,474.2,205.33
2014,Aug,220.36,445.0,176.42,12.37,247.62,500.05,198.24
2014,Sep,202.83,432.0,163.06,12.37,227.92,485.44,183.23
2014,Oct,220.14,428.0,163.12,12.37,247.37,480.94,183.3
2014,Nov,236.03,418.0,178.74,12.37,265.23,469.71,200.85
2014,Dec,261.78,418.0,178.73,12.37,294.16,469.71,200.84
2015,Jan,231.47,420.0,174.71,12.24,259.8,471.41,196.09
2015,Feb,219.85,420.0,173.7,12.24,246.76,471.41,194.96
2015,Mar,218.8,410.0,174.23,12.24,245.58,460.18,195.56
2015,Apr,209.7,399.0,172.05,12.24,235.37,447.84,193.11
2015,May,200.77,381.0,166.29,12.24,225.34,427.63,186.64
2015,Jun,204.99,376.0,166.72,12.24,230.08,422.02,187.13
2015,Jul,207.38,392.0,179.6,12.24,232.76,439.98,201.58
2015,Aug,187.87,373.0,162.59,12.24,210.87,418.66,182.49
2015,Sep,193.97,357.0,165.62,12.24,217.71,400.7,185.89
2015,Oct,206.34,373.0,171.39,12.24,231.6,418.66,192.37
2015,Nov,203.41,368.0,166.16,12.24,228.31,413.04,186.5
2015,Dec,191.98,363.0,163.95,12.24,215.48,407.43,184.02
2016,Jan,191.73,369.0,161.03,10.84,212.51,409.0,178.49
2016,Feb,188.43,384.0,159.68,10.84,208.86,425.63,176.99
2016,Mar,189.69,384.0,159.14,10.84,210.25,425.63,176.39
2016,Apr,192.76,395.0,164.41,10.84,213.66,437.82,182.23
2016,May,189.85,433.0,168.96,10.84,210.43,479.94,187.28
2016,Jun,187.01,441.0,179.87,10.84,207.28,488.8,199.37
2016,Jul,166.51,442.0,161.76,10.84,184.56,489.91,179.29
2016,Aug,159.28,415.0,150.15,10.84,176.55,459.99,166.43
2016,Sep,157.56,384.0,148.43,10.84,174.64,425.63,164.52
2016,Oct,164.37,369.0,152.26,10.84,182.19,409.0,168.76
2016,Nov,167.28,365.0,151.8,10.84,185.41,404.57,168.26
2016,Dec,161.17,373.0,152.45,10.84,178.64,413.43,168.98
2017,Jan,173.61,377.0,159.99,8.53,188.42,409.16,173.64
2017,Feb,181.0,367.0,162.86,8.53,196.44,398.31,176.75
2017,Mar,176.54,370.0,158.96,8.53,191.6,401.56,172.52
2017,Apr,172.19,380.0,156.44,8.53,186.88,412.41,169.78
2017,May,174.97,421.0,158.59,8.53,189.89,456.91,172.12
2017,Jun,183.36,458.0,157.93,8.53,199.0,497.07,171.4
2017,Jul,201.77,417.0,157.51,8.53,218.98,452.57,170.95
2017,Aug,172.68,393.0,148.5,8.53,187.41,426.52,161.17
2017,Sep,176.9,402.0,147.29,8.53,191.99,436.29,159.85
2017,Oct,177.01,394.0,148.62,8.53,192.11,427.61,161.3
2017,Nov,175.66,402.0,148.7,8.53,190.64,436.29,161.38
2017,Dec,172.49,406.0,148.98,8.53,187.2,440.63,161.69
2018,Jan,178.34,442.0,155.84,5.94,188.93,468.25,165.1
2018,Feb,190.56,425.0,163.36,5.94,201.88,450.24,173.06
2018,Mar,198.86,430.0,172.0,5.94,210.67,455.54,182.22
2018,Apr,198.79,451.0,175.6,5.94,210.6,477.79,186.03
2018,May,209.95,451.0,179.09,5.94,222.42,477.79,189.73
2018,Jun,206.0,427.0,165.07,5.94,218.24,452.36,174.88
2018,Jul,206.93,398.0,156.46,5.94,219.22,421.64,165.75
2018,Aug,217.44,405.0,162.37,5.94,230.36,429.06,172.01
2018,Sep,202.05,405.0,154.8,5.94,214.05,429.06,164.0
2018,Oct,209.1,409.0,160.26,5.94,221.52,433.29,169.78
2018,Nov,210.85,401.0,160.69,5.94,223.37,424.82,170.23
2018,Dec,217.81,404.0,167.44,5.94,230.75,428.0,177.39
2019,Jan,220.16,410.0,166.74,4.06,229.1,426.65,173.51
2019,Feb,217.25,408.0,169.52,4.06,226.07,424.56,176.4
2019,Mar,200.39,406.0,166.22,4.06,208.53,422.48,172.97
2019,Apr,197.33,413.0,161.49,4.06,205.34,429.77,168.05
2019,May,200.32,409.0,171.08,4.06,208.45,425.61,178.03
2019,Jun,222.41,420.0,195.08,4.06,231.44,437.05,203.0
2019,Jul,203.96,416.0,189.42,4.06,212.24,432.89,197.11
2019,Aug,197.52,430.0,163.59,4.06,205.54,447.46,170.23
2019,Sep,201.91,427.0,157.26,4.06,210.11,444.34,163.64
2019,Oct,212.85,424.0,167.15,4.06,221.49,441.21,173.94
2019,Nov,223.54,421.0,166.33,4.06,232.62,438.09,173.08
2019,Dec,237.68,432.0,166.96,4.06,247.33,449.54,173.74
2020,Jan,247.99,451.0,171.79,2.79,254.91,463.58,176.58
2020,Feb,238.98,450.0,168.71,2.79,245.65,462.56,173.42
2020,Mar,228.12,494.0,162.42,2.79,234.48,507.78,166.95
2020,Apr,221.69,564.0,146.91,2.79,227.88,579.74,151.01
2020,May,209.93,510.0,143.91,2.79,215.79,524.23,147.93
2020,Jun,200.5,520.0,147.99,2.79,206.09,534.51,152.12
2020,Jul,212.74,480.0,152.55,2.79,218.68,493.39,156.81
2020,Aug,208.94,505.0,149.34,2.79,214.77,519.09,153.51
2020,Sep,219.68,507.0,166.08,2.79,225.81,521.15,170.71
2020,Oct,245.2,471.0,186.75,2.79,252.04,484.14,191.96
2020,Nov,247.95,489.0,190.38,2.79,254.87,502.64,195.69
2020,Dec,251.15,520.0,198.77,2.79,258.16,534.51,204.32
2021,Jan,276.45,545.0,234.47,-1.29,272.88,537.97,231.45
2021,Feb,276.63,557.0,245.24,-1.29,273.06,549.81,242.08
2021,Mar,272.58,525.0,245.17,-1.29,269.06,518.23,242.01
2021,Apr,281.38,495.0,268.23,-1.29,277.75,488.61,264.77
2021,May,270.98,493.0,305.31,-1.29,267.48,486.64,301.37
2021,Jun,263.48,466.0,292.56,-1.29,260.08,459.99,288.79
2021,Jul,254.67,414.0,278.43,-1.29,251.38,408.66,274.84
2021,Aug,276.18,403.0,256.61,-1.29,272.62,397.8,253.3
2021,Sep,263.6,400.0,235.62,-1.29,260.2,394.84,232.58
2021,Oct,334.5,401.0,239.65,-1.29,330.18,395.83,236.56
2021,Nov,327.82,400.0,248.72,-1.29,323.59,394.84,245.51
2021,Dec,332.06,400.0,264.54,-1.29,327.78,394.84,261.13
2022,Jan,,427.0,276.62,,,,
